avg_star_rating,review_count,burst_ratio,rating_deviation,category_diversity,account_age_at_review
3.0,2,0.0,0.07511737089201898,1.0,0
4.0,2,0.0,1.1739130434782608,1.0,0
3.6666666666666665,3,0.0,0.8324324324324324,1.0,0
5.0,2,0.0,1.027173913043478,1.0,0
5.0,1,0.0,1.289473684210526,1.0,0
1.0,1,0.0,2.7142857142857144,1.0,0
1.0,2,0.0,2.6809815950920246,1.0,0
3.5,2,0.0,0.6809815950920246,1.0,0
1.0,1,0.0,2.856287425149701,1.0,0
4.0,3,0.0,1.2756756756756755,1.0,0
4.5,2,0.0,0.15384615384615374,1.0,0
4.0,2,0.0,1.1455696202531644,1.0,0
2.0,1,0.0,1.774193548387097,1.0,0
4.333333333333333,3,0.0,0.8306878306878307,1.0,0
3.0,1,0.0,0.6703910614525141,1.0,0
5.0,1,0.0,1.0655737704918034,1.0,0
3.0,2,0.0,0.8058823529411763,1.0,0
4.0,3,0.6666666666666666,0.25274725274725274,1.0,0
4.0,1,0.0,0.2756756756756755,1.0,0
2.5,2,0.0,0.320855614973262,1.0,0
4.0,3,0.0,0.320855614973262,1.0,0
5.0,1,0.0,1.1781609195402298,1.0,0
4.5,2,0.0,1.1937172774869111,1.0,0
4.0,1,0.0,0.15116279069767424,1.0,0
4.0,2,0.0,1.137142857142857,1.0,0
4.0,1,0.0,0.23668639053254426,1.0,0
4.0,2,0.0,0.8205128205128207,1.0,0
4.0,2,0.0,0.7149758454106281,1.0,0
4.333333333333333,3,0.0,1.263440860215054,1.0,0
4.0,1,0.0,0.2511848341232228,1.0,0
3.5,2,0.0,1.1666666666666665,1.0,0
2.3333333333333335,3,0.0,2.7243243243243245,1.0,0
5.0,1,0.0,1.3735632183908044,1.0,0
3.5,2,0.0,0.7096774193548385,1.0,0
5.0,3,0.0,1.175324675324675,1.0,0
5.0,1,0.0,1.1624365482233503,1.0,0
4.0,1,0.0,0.2990196078431371,1.0,0
4.0,2,0.0,1.0049261083743843,1.0,0
3.5,2,0.0,1.8333333333333335,1.0,0
5.0,1,0.0,1.233183856502242,1.0,0
5.0,1,0.0,1.2366863905325443,1.0,0
4.5,2,0.0,0.07471264367816088,1.0,0
5.0,2,0.0,1.1640211640211642,1.0,0
5.0,1,0.0,1.1375661375661377,1.0,0
4.0,1,0.0,0.019704433497536922,1.0,0
5.0,1,0.0,1.191358024691358,1.0,0
3.75,4,0.0,1.233183856502242,1.0,0
4.0,3,0.0,0.2122905027932962,1.0,0
3.0,1,0.0,0.7243243243243245,1.0,0
1.0,1,0.0,2.751381215469613,1.0,0
